name,cmc,release_year,price,color,image,type_line,artist
Banefire,1,2010,1.18,#ff1a1a,https://cards.scryfall.io/normal/front/e/0/e03d70c6-fde0-4eb0-8d39-69879448ab05.jpg?1783941935,Sorcery,Raymond Swanland
Coat of Arms,5,2010,24.72,#8c8d8b,https://cards.scryfall.io/normal/front/8/d/8dda991b-e914-43ee-becf-2f8b4c1bd1f3.jpg?1783941923,Artifact,Scott M. Fischer
Counterbore,5,2010,0.38,#341aff,https://cards.scryfall.io/normal/front/6/9/690962ae-2d34-431c-96b1-4090aae1a270.jpg?1783941943,Instant,Wayne England
Denizen of the Deep,8,2010,0.35,#341aff,https://cards.scryfall.io/normal/front/2/9/29940d8c-da96-4b74-a503-80f6e6883d20.jpg?1783941942,Creature — Serpent,Jim Pavelec
Elvish Champion,3,2010,18.09,#087500,https://cards.scryfall.io/normal/front/c/8/c8ce1109-a5b5-49ce-a08c-1ca121b5c42b.jpg?1783941930,Creature — Elf,D. Alexander Gregory
Evacuation,5,2010,0.81,#341aff,https://cards.scryfall.io/normal/front/1/c/1c9d3c77-6b39-4eb2-8414-b1224c303703.jpg?1783941942,Instant,Franz Vohwinkel
Furnace of Rath,4,2010,7.17,#ff1a1a,https://cards.scryfall.io/normal/front/c/c/ccd12a28-39f5-47ee-b158-cd08ac4146b5.jpg?1783941933,Enchantment,John Matson
Gaea's Herald,2,2010,1.5,#087500,https://cards.scryfall.io/normal/front/b/3/b3df5ab1-050e-475d-95e1-bc0b1b0a96ba.jpg?1783941928,Creature — Elf,Jim Murray
Loxodon Warhammer,3,2010,1.35,#8c8d8b,https://cards.scryfall.io/normal/front/c/1/c1be8865-e60e-4def-8c19-b12eb5cb0835.jpg?1783941922,Artifact — Equipment,Jeremy Jarvis
Mind Shatter,2,2010,0.39,#000000,https://cards.scryfall.io/normal/front/4/e/4e6ab1b7-73a9-48ab-bf15-3602d96bf017.jpg?1783941937,Sorcery,Michael Sutfin
Mind Spring,2,2010,0.59,#341aff,https://cards.scryfall.io/normal/front/e/f/ef53cbf5-9e06-4fa2-8d19-48f4c00151b0.jpg?1783941941,Sorcery,Mark Zug
Molimo- Maro-Sorcerer,7,2010,0.17,#087500,https://cards.scryfall.io/normal/front/6/9/69072d65-6d1d-48d1-aca0-4273722be79a.jpg?1783941926,Legendary Creature — Elemental Sorcerer,Mark Zug
Mortivore,4,2010,1.2,#000000,https://cards.scryfall.io/normal/front/e/0/e06670f5-0ee6-4b43-81a9-86c1d25df736.jpg?1783941937,Creature — Lhurgoyf,Anthony S. Waters
Rage Reflection,6,2010,1.56,#ff1a1a,https://cards.scryfall.io/normal/front/1/9/1900c0b1-b2b0-4561-ae63-ab7cd4c54580.jpg?1783941932,Enchantment,Terese Nielsen & Ron Spencer
Sengir Vampire,5,2010,0.23,#000000,https://cards.scryfall.io/normal/front/4/3/43b3ddee-980f-45a6-bb15-a0910187007a.jpg?1783941936,Creature — Vampire,Kev Walker
Shivan Dragon,6,2010,0.22,#ff1a1a,https://cards.scryfall.io/normal/front/6/d/6d8330b7-7fae-45ef-b254-12f720b85fba.jpg?1783941931,Creature — Dragon,Donato Giancola
Talara's Battalion,2,2010,0.44,#087500,https://cards.scryfall.io/normal/front/1/9/19187eb0-40ce-488f-bf6f-da6a353b0e40.jpg?1783941924,Creature — Elf Warrior,Todd Lockwood
Troll Ascetic,3,2010,0.25,#087500,https://cards.scryfall.io/normal/front/1/8/1886c23e-cdb9-46e7-8086-c827bf79da66.jpg?1783941924,Creature — Troll Shaman,Puddnhead
Underworld Dreams,3,2010,3.82,#000000,https://cards.scryfall.io/normal/front/9/6/960c53f5-6d28-4bc4-b6a1-345f2a2a97f8.jpg?1783941936,Enchantment,Carl Critchlow
Vigor,6,2010,16.22,#087500,https://cards.scryfall.io/normal/front/c/3/c3c8cc70-a8c8-41db-99c1-b8be6f020180.jpg?1783941924,Creature — Elemental Incarnation,Jim Murray
