name,cmc,release_year,price,color,image
Banefire,1,2010,0.99,#ff1a1a,https://cards.scryfall.io/normal/front/e/0/e03d70c6-fde0-4eb0-8d39-69879448ab05.jpg?1562483846
Coat of Arms,5,2010,18.02,#8c8d8b,https://cards.scryfall.io/normal/front/8/d/8dda991b-e914-43ee-becf-2f8b4c1bd1f3.jpg?1562483355
Counterbore,5,2010,0.26,#341aff,https://cards.scryfall.io/normal/front/6/9/690962ae-2d34-431c-96b1-4090aae1a270.jpg?1562483337
Denizen of the Deep,8,2010,0.24,#341aff,https://cards.scryfall.io/normal/front/2/9/29940d8c-da96-4b74-a503-80f6e6883d20.jpg?1562482870
Elvish Champion,3,2010,23.92,#087500,https://cards.scryfall.io/normal/front/c/8/c8ce1109-a5b5-49ce-a08c-1ca121b5c42b.jpg?1562483832
Evacuation,5,2010,6.43,#341aff,https://cards.scryfall.io/normal/front/1/c/1c9d3c77-6b39-4eb2-8414-b1224c303703.jpg?1562482854
Furnace of Rath,4,2010,7.14,#ff1a1a,https://cards.scryfall.io/normal/front/c/c/ccd12a28-39f5-47ee-b158-cd08ac4146b5.jpg?1562483835
Gaea's Herald,2,2010,2.73,#087500,https://cards.scryfall.io/normal/front/b/3/b3df5ab1-050e-475d-95e1-bc0b1b0a96ba.jpg?1562483819
Loxodon Warhammer,3,2010,0.41,#8c8d8b,https://cards.scryfall.io/normal/front/c/1/c1be8865-e60e-4def-8c19-b12eb5cb0835.jpg?1562483825
Mind Shatter,2,2010,0.21,#000000,https://cards.scryfall.io/normal/front/4/e/4e6ab1b7-73a9-48ab-bf15-3602d96bf017.jpg?1562482889
Mind Spring,2,2010,0.29,#341aff,https://cards.scryfall.io/normal/front/e/f/ef53cbf5-9e06-4fa2-8d19-48f4c00151b0.jpg?1562484293
Molimo- Maro-Sorcerer,7,2010,0.34,#087500,https://cards.scryfall.io/normal/front/6/9/69072d65-6d1d-48d1-aca0-4273722be79a.jpg?1562483336
Mortivore,4,2010,2.36,#000000,https://cards.scryfall.io/normal/front/e/0/e06670f5-0ee6-4b43-81a9-86c1d25df736.jpg?1562483847
Rage Reflection,6,2010,0.84,#ff1a1a,https://cards.scryfall.io/normal/front/1/9/1900c0b1-b2b0-4561-ae63-ab7cd4c54580.jpg?1562482699
Sengir Vampire,5,2010,0.22,#000000,https://cards.scryfall.io/normal/front/4/3/43b3ddee-980f-45a6-bb15-a0910187007a.jpg?1562482878
Shivan Dragon,6,2010,0.14,#ff1a1a,https://cards.scryfall.io/normal/front/6/d/6d8330b7-7fae-45ef-b254-12f720b85fba.jpg?1562483339
Talara's Battalion,2,2010,0.26,#087500,https://cards.scryfall.io/normal/front/1/9/19187eb0-40ce-488f-bf6f-da6a353b0e40.jpg?1562482700
Troll Ascetic,3,2010,0.27,#087500,https://cards.scryfall.io/normal/front/1/8/1886c23e-cdb9-46e7-8086-c827bf79da66.jpg?1562482698
Underworld Dreams,3,2010,1.92,#000000,https://cards.scryfall.io/normal/front/9/6/960c53f5-6d28-4bc4-b6a1-345f2a2a97f8.jpg?1562483362
Vigor,6,2010,12.26,#087500,https://cards.scryfall.io/normal/front/c/3/c3c8cc70-a8c8-41db-99c1-b8be6f020180.jpg?1562483827
