name,cmc,release_year,price,color,image,type_line,artist
An Offer You Can't Refuse,1,2023,5.5,#341aff,https://cards.scryfall.io/normal/front/1/3/134200c4-88af-4772-9031-a59669e8c2ec.jpg?1687348044,Instant,Miho Irie
Death's Shadow,1,2023,4.81,#000000,https://cards.scryfall.io/normal/front/b/f/bf954e31-015a-4646-8333-40225c847bcc.jpg?1687348300,Creature — Avatar,Matt Stikker
Dragonlord Silumgar,6,2024,17.28,#d78f42,https://cards.scryfall.io/normal/front/c/8/c8a826a3-bd19-4c56-9b86-d6547714c684.jpg?1687348444,Legendary Creature — Elder Dragon,WolfSkullJack
Eldritch Evolution,3,2023,5.4,#087500,https://cards.scryfall.io/normal/front/f/7/f743b688-25e8-421e-97b5-d294dda34817.jpg?1682696304,Sorcery,DZO
Explore,2,2024,0.83,#087500,https://cards.scryfall.io/normal/front/d/6/d6ff821f-d60a-497e-9809-20fd0a80594c.jpg?1706549594,Sorcery,BLUMOO
Expressive Iteration,2,2024,12.97,#d78f42,https://cards.scryfall.io/normal/front/2/b/2be401fd-491c-4283-b8b6-1073431205b9.jpg?1706549626,Sorcery,Dominik Mayer
Ponder,1,2024,37.66,#341aff,https://cards.scryfall.io/normal/front/c/d/cd165fe9-7de3-4883-a258-e397472db606.jpg?1700872024,Sorcery,Jay Ryan
Relentless Rats,3,2023,5.37,#000000,https://cards.scryfall.io/normal/front/c/d/cd52d335-337c-4ac8-8854-15850e2da093.jpg?1696168625,Creature — Rat,Graham Yarrington
Ugin- the Spirit Dragon,8,2023,43.94,#8c8d8b,https://cards.scryfall.io/normal/front/3/e/3e64afdc-7623-4b88-a952-45243b4dff79.jpg?1676935975,Legendary Planeswalker — Ugin,Kelogsloops
Unholy Heat,1,2023,1.73,#ff1a1a,https://cards.scryfall.io/normal/front/f/2/f22650a0-278c-45a1-8e3c-66c2ae6e844a.jpg?1692066759,Instant,Cabrol
Wrenn and Six,2,2023,499.94,#d78f42,https://cards.scryfall.io/normal/front/a/3/a31d1338-3085-47c5-ac7b-6aa34b91314a.jpg?1708138569,Legendary Planeswalker — Wrenn,Ricardo Cavolo
