name,cmc,release_year,price,color,image
Altered Ego,4,2016,1.14,#d78f42,https://cards.scryfall.io/normal/front/c/0/c05da08d-8fac-47bc-80d8-78a80d1463d2.jpg?1576385321
Always Watching,3,2016,0.78,#ffffff,https://cards.scryfall.io/normal/front/8/4/84826f49-b5fb-4bd6-ab46-98e84b0d25c8.jpg?1576383632
Angel of Deliverance,8,2016,0.13,#ffffff,https://cards.scryfall.io/normal/front/f/4/f4e12f83-eab8-4113-ab63-3f7a830861d4.jpg?1576383639
Anguished Unmaking,3,2016,4.39,#d78f42,https://cards.scryfall.io/normal/front/9/0/90ced4fa-6509-4f7a-9da7-efc70de6f90c.jpg?1576385327
Archangel Avacyn // Avacyn- the Purifier,5,2016,4.46,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458
Arlinn Kord // Arlinn- Embraced by the Moon,4,2016,4.44,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458
Asylum Visitor,2,2016,0.35,#000000,https://cards.scryfall.io/normal/front/5/5/55a4bf6c-167a-4122-a55b-7bc28ca4f0d4.jpg?1576384340
Avacyn's Judgment,2,2016,0.16,#ff1a1a,https://cards.scryfall.io/normal/front/0/c/0c5f44ce-1464-4282-9afa-20e9ea44c613.jpg?1576384651
Behold the Beyond,7,2016,1.91,#000000,https://cards.scryfall.io/normal/front/f/d/fd22350b-d48c-4ae6-b95f-63336fabe0e3.jpg?1576384353
Brain in a Jar,2,2016,0.2,#8c8d8b,https://cards.scryfall.io/normal/front/8/8/88ecfcbe-e8db-4f08-aa8b-5b7b3e6c6ce7.jpg?1576385394
Burn from Within,1,2016,0.24,#ff1a1a,https://cards.scryfall.io/normal/front/f/8/f8bdc165-4c6f-47e6-8bda-877c0be3613b.jpg?1576384673
Bygone Bishop,3,2016,0.2,#ffffff,https://cards.scryfall.io/normal/front/7/c/7c45198f-fb2b-4c83-abdc-8b1a0071cfed.jpg?1576383693
Choked Estuary,0,2016,0.33,#d78f42,https://cards.scryfall.io/normal/front/9/9/995d44ca-626d-4c95-97af-ee53fa8baaf0.jpg?1576385517
Confirm Suspicions,5,2016,0.19,#341aff,https://cards.scryfall.io/normal/front/c/f/cf7fcbc2-1034-442d-9f2a-7d79ea40ac3d.jpg?1576384007
Corrupted Grafstone,2,2016,0.23,#8c8d8b,https://cards.scryfall.io/normal/front/1/f/1ffa34cc-4042-4d2b-a7a0-eca0b593eeb6.jpg?1576385400
Cryptolith Rite,2,2016,9.86,#087500,https://cards.scryfall.io/normal/front/2/9/2910adcd-882a-46af-8236-ca1a9e2c19ab.jpg?1576385036
Deathcap Cultivator,2,2016,0.29,#d78f42,https://cards.scryfall.io/normal/front/f/c/fc4aee46-ac42-4ede-ad06-906e2955a9d3.jpg?1576385047
Declaration in Stone,2,2016,0.37,#ffffff,https://cards.scryfall.io/normal/front/f/6/f685445d-e2af-455f-b3b2-97cf15362f3c.jpg?1576383718
Descend upon the Sinful,6,2016,0.31,#ffffff,https://cards.scryfall.io/normal/front/c/9/c9ff2cbf-a1dc-4cc5-9a5d-8439899d4e87.jpg?1576383726
Devils' Playground,6,2016,0.21,#ff1a1a,https://cards.scryfall.io/normal/front/1/2/1207e6eb-15a7-4ec4-91b3-880375704bb6.jpg?1576384700
Diregraf Colossus,3,2016,1.71,#000000,https://cards.scryfall.io/normal/front/9/0/9039e8f6-5513-4307-a1b5-07209dc8e1c8.jpg?1576384392
Drogskol Cavalry,7,2016,0.2,#ffffff,https://cards.scryfall.io/normal/front/4/6/46c262c8-9daa-4ed8-b519-11b5895de89f.jpg?1576383739
Drownyard Temple,0,2016,0.21,#8c8d8b,https://cards.scryfall.io/normal/front/a/5/a5bb5657-18a1-455c-a87a-4e67971184ac.jpg?1576385523
Eerie Interlude,3,2016,1.81,#ffffff,https://cards.scryfall.io/normal/front/d/c/dcbab6e4-d317-4e73-a6ff-bed49aa6b70b.jpg?1576383745
Elusive Tormentor // Insidious Mist,4,2016,0.17,#d78f42,https://cards.scryfall.io/normal/front/f/4/f410ae1c-02de-423e-a478-e1dea243ef1e.jpg?1619395458
Engulf the Shore,4,2016,0.43,#341aff,https://cards.scryfall.io/normal/front/2/2/22909767-a088-49ff-83be-37f967d1da3d.jpg?1576384043
Epiphany at the Drownyard,1,2016,0.46,#341aff,https://cards.scryfall.io/normal/front/6/4/64b44364-8f83-4dcf-8458-0fd54a698524.jpg?1576384049
Ever After,6,2016,0.25,#000000,https://cards.scryfall.io/normal/front/9/a/9a530a54-2711-4858-bc88-559d90be4f05.jpg?1576384410
Falkenrath Gorger,1,2016,0.15,#ff1a1a,https://cards.scryfall.io/normal/front/4/7/474895d8-1f2c-45bb-b721-4cf7c290eb23.jpg?1576384725
Fevered Visions,3,2016,0.7,#d78f42,https://cards.scryfall.io/normal/front/3/e/3ee3fc2b-c2e4-421d-ac1d-6a111bb44f44.jpg?1576385345
Flameblade Angel,6,2016,0.18,#ff1a1a,https://cards.scryfall.io/normal/front/1/0/1031ec22-c99f-4843-a7cf-c8332234eca8.jpg?1576384736
Foreboding Ruins,0,2016,0.39,#d78f42,https://cards.scryfall.io/normal/front/3/c/3c26ee31-7e2a-4eed-b448-04989fb57523.jpg?1576385528
Forgotten Creation,4,2016,0.21,#341aff,https://cards.scryfall.io/normal/front/2/7/27f82ee6-b8cd-4dce-b213-3910302f30e9.jpg?1576384075
Fortified Village,0,2016,0.27,#d78f42,https://cards.scryfall.io/normal/front/1/f/1feb9dc1-671d-43ad-ae22-ed1a9916b140.jpg?1576385540
From Under the Floorboards,5,2016,0.26,#000000,https://cards.scryfall.io/normal/front/3/e/3e644706-223d-4e56-9614-b224e281be2f.jpg?1576384423
Game Trail,0,2016,0.44,#d78f42,https://cards.scryfall.io/normal/front/2/1/21cb5950-adaa-438d-998b-3a64bd4a2b3e.jpg?1576385553
Geier Reach Bandit // Vildin-Pack Alpha,3,2016,0.41,#ff1a1a,https://cards.scryfall.io/normal/front/5/3/53fb7b99-9e47-46a6-9c8a-88e28b5197f1.jpg?1641306121
Geralf's Masterpiece,5,2016,0.35,#341aff,https://cards.scryfall.io/normal/front/f/0/f00d28b8-2ed8-4266-a870-d308f9ebd5da.jpg?1576384088
Goldnight Castigator,4,2016,0.4,#ff1a1a,https://cards.scryfall.io/normal/front/c/a/ca3d3c9a-d41b-4743-87a6-68d116460fe2.jpg?1576384777
Hanweir Militia Captain // Westvale Cult Leader,2,2016,0.77,#ffffff,https://cards.scryfall.io/normal/front/a/9/a9891b7b-fc52-470c-9f74-292ae665f378.jpg?1641306232
Harness the Storm,3,2016,0.19,#ff1a1a,https://cards.scryfall.io/normal/front/5/2/5294d359-c599-40ed-9e06-2a3cc8624d6a.jpg?1576384783
Inexorable Blob,3,2016,0.19,#087500,https://cards.scryfall.io/normal/front/0/2/0210ff44-19d9-4d24-9d32-f1f9f219d9e0.jpg?1576385128
Invocation of Saint Traft,3,2016,0.22,#d78f42,https://cards.scryfall.io/normal/front/c/6/c64077da-9e55-4ced-91f7-db478383172f.jpg?1576385358
