name,cmc,release_year,price,color,image
Aeolipile,2,1994,3.26,#8c8d8b,https://cards.scryfall.io/normal/front/a/0/a09030ee-415c-45af-bf08-7623197a314f.jpg?1562924974
Balm of Restoration,2,1994,1.04,#8c8d8b,https://cards.scryfall.io/normal/front/7/f/7f95de4a-7fae-42bc-9660-39ea7685ca02.jpg?1587911024
Bottomless Vault,0,1994,1.27,#000000,https://cards.scryfall.io/normal/front/6/3/639ae988-d1d1-4ead-b0f8-47fc39eb64a0.jpg?1562913425
Conch Horn,2,1994,5.16,#8c8d8b,https://cards.scryfall.io/normal/front/8/6/860a9ba3-e4c4-4af9-bdfe-1ada39289fd5.jpg?1562919860
Delif's Cube,1,1994,1.98,#8c8d8b,https://cards.scryfall.io/normal/front/1/4/14749600-9eca-4122-b04f-30ddda091b74.jpg?1562898887
Derelor,4,1994,0.25,#000000,https://cards.scryfall.io/normal/front/9/e/9eb2b79f-f09a-49dc-8e0f-7d711ba78981.jpg?1562924561
Draconian Cylix,3,1994,1.13,#8c8d8b,https://cards.scryfall.io/normal/front/a/4/a419c9e3-5615-44f9-9256-94a3022bb69f.jpg?1562925620
Dwarven Armorer,1,1994,2.52,#ff1a1a,https://cards.scryfall.io/normal/front/1/d/1d50bf06-97ab-4874-a484-9289f41dc98e.jpg?1587910946
Dwarven Hold,0,1994,1.85,#ff1a1a,https://cards.scryfall.io/normal/front/a/3/a3142ded-ff62-4817-aa54-75a7ea4498a6.jpg?1562925448
Ebon Praetor,6,1994,2.72,#000000,https://cards.scryfall.io/normal/front/4/0/40451f7a-692a-422d-99d3-d93a4d9315e0.jpg?1562906796
Elven Lyre,2,1994,1.43,#8c8d8b,https://cards.scryfall.io/normal/front/c/3/c3a8cd72-04c0-46f7-a249-f1cecddfdc26.jpg?1562931566
Elvish Farmer,2,1994,9.99,#087500,https://cards.scryfall.io/normal/front/4/0/40a9710e-b2f8-4746-8640-d450f58a6e49.jpg?1562906881
Fungal Bloom,2,1994,3.63,#087500,https://cards.scryfall.io/normal/front/c/f/cf1a2cb2-9a6b-41f7-96f7-ec457c69c16c.jpg?1562933724
Goblin Flotilla,3,1994,1.48,#ff1a1a,https://cards.scryfall.io/normal/front/8/7/87024efe-4a74-49fe-a43a-480bed0a650a.jpg?1562920016
Goblin Warrens,3,1994,1.26,#ff1a1a,https://cards.scryfall.io/normal/front/b/b/bbec4aa5-3319-43dc-8347-5633edbd7018.jpg?1562930091
Hand of Justice,6,1994,3.03,#ffffff,https://cards.scryfall.io/normal/front/7/a/7a899b2d-825c-4929-a769-f4df70bf6a17.jpg?1562917639
Hollow Trees,0,1994,0.75,#087500,https://cards.scryfall.io/normal/front/9/0/90845410-e09a-4753-ad4c-bf2b2f3c95ac.jpg?1562921836
Homarid Shaman,4,1994,1.62,#341aff,https://cards.scryfall.io/normal/front/c/1/c17c6416-86d6-46ea-aea1-41b98a66b250.jpg?1587910868
Icatian Lieutenant,2,1994,1.45,#ffffff,https://cards.scryfall.io/normal/front/3/9/39fec59a-4ade-4c6f-ae7d-911fbe6da26d.jpg?1562905717
Icatian Skirmishers,4,1994,1.31,#ffffff,https://cards.scryfall.io/normal/front/1/5/15f6d115-c02d-45a3-aa6d-402964df47dd.jpg?1562899190
Icatian Store,0,1994,0.75,#ffffff,https://cards.scryfall.io/normal/front/d/7/d7cd8d8c-52c7-402f-92e1-5e5866f2555a.jpg?1562935378
Icatian Town,6,1994,0.48,#ffffff,https://cards.scryfall.io/normal/front/c/b/cbb7c28d-0366-4d01-84a2-f1bc9f38aa4a.jpg?1562933120
Implements of Sacrifice,2,1994,1.02,#8c8d8b,https://cards.scryfall.io/normal/front/a/a/aa5deb95-79a6-4398-b82a-c1df169550d9.jpg?1562926815
Orgg,5,1994,0.31,#ff1a1a,https://cards.scryfall.io/normal/front/5/a/5af19ab0-4bd0-4d5f-8d2e-507e4fe87c18.jpg?1562911804
Rainbow Vale,0,1994,10.47,#8c8d8b,https://cards.scryfall.io/normal/front/c/1/c1b138e1-f8fc-435c-9aed-98004768479c.jpg?1562931192
Ring of Renewal,5,1994,1.24,#8c8d8b,https://cards.scryfall.io/normal/front/a/5/a532d38a-809b-4132-8690-be15fe23afab.jpg?1562925868
River Merfolk,2,1994,0.99,#341aff,https://cards.scryfall.io/normal/front/2/7/27d7fa54-4b89-4a9a-b088-4b89c525c1ea.jpg?1562902383
Sand Silos,0,1994,0.98,#341aff,https://cards.scryfall.io/normal/front/3/f/3f6f1fcb-d903-4a31-abab-40488569eef6.jpg?1562906669
Spirit Shield,3,1994,1.2,#8c8d8b,https://cards.scryfall.io/normal/front/2/1/213d6e0d-5ec9-441e-a38d-50ce44583e4b.jpg?1562901153
Thelonite Monk,4,1994,1.23,#087500,https://cards.scryfall.io/normal/front/5/4/5400ff25-c70e-4095-a228-190601b86043.jpg?1587911014
Thelon's Curse,2,1994,1.84,#d78f42,https://cards.scryfall.io/normal/front/9/b/9b868846-cc3c-4756-a5dd-2335bb380567.jpg?1562923972
Thrull Champion,5,1994,7.75,#000000,https://cards.scryfall.io/normal/front/4/d/4d3cafdd-a03b-4b08-b9c1-c776f8450d3a.jpg?1562909139
Tourach's Gate,3,1994,1.21,#000000,https://cards.scryfall.io/normal/front/d/7/d77f6401-a9fb-449c-b511-6fb837055bb4.jpg?1562935294
Vodalian Knights,3,1994,1.04,#341aff,https://cards.scryfall.io/normal/front/6/8/68d97e1b-2526-4740-b354-f158734d1f72.jpg?1562914419
Vodalian War Machine,3,1994,1.1,#341aff,https://cards.scryfall.io/normal/front/c/d/cd962ff0-4aa6-453e-931e-bd36fc034273.jpg?1562933491
Zelyon Sword,3,1994,1.86,#8c8d8b,https://cards.scryfall.io/normal/front/4/1/4137160b-5248-4fbd-8ae8-25e9afd8fb5c.jpg?1562906976
