name,cmc,release_year,price,color,image,type_line,artist
Abian- Luvion Usurper,7,2019,6.74,#d78f42,https://cards.scryfall.io/normal/front/a/9/a9a6cf9c-3560-435c-b0ec-8653a9dc7776.jpg?1578369133,Legendary Planeswalker — Abian,James Kooi
Aggressive Crag,0,2019,2.45,#d78f42,https://cards.scryfall.io/normal/front/0/c/0c05f413-e7c7-407f-a563-d1be1706cb09.jpg?1575862513,Land,Demitrios Feredinos
A Good Thing,6,2019,1.05,#d78f42,https://cards.scryfall.io/normal/front/e/8/e84a1c2f-482a-42f9-87e9-35a381cad403.jpg?1582826245,Enchantment,Yoni Skolnik
Animate Spell,1,2019,1.23,#341aff,https://cards.scryfall.io/normal/front/b/f/bfaa83d7-6b4a-40a9-a90b-7afe1765eccb.jpg?1578967044,Enchantment — Aura,Alli Steele
Banding Sliver,5,2019,16.53,#ffffff,https://cards.scryfall.io/normal/front/8/b/8b710ff3-1ed9-4be3-99b7-d90c513ed1f5.jpg?1578971726,Creature — Sliver,Alicia Mickes
Baneslayer Aspirant,2,2019,1.39,#ffffff,https://cards.scryfall.io/normal/front/d/2/d2f4752c-85c2-4f30-b881-0b63d5f30870.jpg?1584375763,Creature — Human Soldier,Taylor Ingvarsson
Barry's Land,0,2019,4.38,#8c8d8b,https://cards.scryfall.io/normal/front/4/b/4b1b0cea-d0f4-4caf-b9ea-156d5221bb1d.jpg?1581101929,Basic Land — Cloud,Matt Tabak
Bear with Set's Mechanic,2,2019,4.15,#087500,https://cards.scryfall.io/normal/front/3/6/368c71ba-9ccd-4b0c-9490-aa88029ee2e6.jpg?1581905642,Creature — Bear,Annie Sardelis
Bind // Liberate,2,2019,0.8,#d78f42,https://cards.scryfall.io/normal/front/e/0/e0cb9755-c372-479c-ad25-dba35ca51f15.jpg?1591395712,Instant // Instant,Talia Armato-Helle
Biting Remark,4,2019,0.65,#341aff,https://cards.scryfall.io/normal/front/8/8/88ac2c7e-a872-4609-89e1-9603770de02c.jpg?1582654975,Creature — Elemental,Josh Thomas
Blood Poet,3,2019,2.67,#000000,https://cards.scryfall.io/normal/front/c/3/c3783d59-c2cc-4fff-afd7-c32418fa36ec.jpg?1578967043,Creature — Vampire Cleric,Marsha Rivera
Bombardment,1,2019,1.81,#ff1a1a,https://cards.scryfall.io/normal/front/f/2/f2cb68c3-c470-4736-9f73-72805cc39326.jpg?1582824808,Sorcery,James Arnold
Bone Rattler,5,2019,2.33,#000000,https://cards.scryfall.io/normal/front/f/5/f5e7b800-df7c-422b-b843-7f86e4fec582.jpg?1573928379,Creature — Skeleton,Ira Humphrey
Bucket List,3,2019,3.33,#d78f42,https://cards.scryfall.io/normal/front/2/d/2d1a6930-067e-4b34-9c84-810a429d845a.jpg?1574520837,Enchantment,Nathan Ian Greene
Buried Ogre,4,2019,1.13,#000000,https://cards.scryfall.io/normal/front/8/8/889fa19e-ade9-4be4-9335-a6e2487c1280.jpg?1578967558,Creature — Zombie Ogre,Dave Geyer
Celestine Cave Witch,4,2019,0.87,#000000,https://cards.scryfall.io/normal/front/a/5/a5af1dd0-282f-43a2-800c-4e873a3b6bdc.jpg?1584375767,Creature — Human Warlock,Bonnie Gabriel
Chimney Goyf,5,2019,2.85,#000000,https://cards.scryfall.io/normal/front/9/b/9bc7c2e0-c7ed-4ffd-b055-cc1dc26c60fb.jpg?1574215365,Creature — Lhurgoyf Imp,Glenn Jones
Chronobot,2,2019,1.28,#8c8d8b,https://cards.scryfall.io/normal/front/7/4/7492a8f3-a616-4604-b96f-131248bec1bf.jpg?1574215595,Artifact Creature — Construct,Stephanie Mitchell
Command the Chaff,6,2019,1.9,#341aff,https://cards.scryfall.io/normal/front/d/b/db82c2fd-5418-41d6-8712-e33a2ae200fe.jpg?1578369185,Instant,George Fan
Control Win Condition,6,2019,3.16,#341aff,https://cards.scryfall.io/normal/front/d/d/dd119cfd-06af-42d8-ad11-0161518aafa3.jpg?1578968178,Creature — Whale,Sean Mayovsky
Corrupted Key,1,2019,1.58,#000000,https://cards.scryfall.io/normal/front/b/1/b17583f3-a0ca-4b57-bddd-11af745a2a33.jpg?1574518134,Artifact — Key,Tom Wänerstrand
Cyclopean Titan,8,2019,1.93,#000000,https://cards.scryfall.io/normal/front/d/f/dfd8d427-f9de-4137-8243-a98ceb0ba904.jpg?1574518429,Creature — Zombie Giant,Matt Smith
Domesticated Mammoth,2,2019,2.23,#087500,https://cards.scryfall.io/normal/front/a/c/acee9eb5-b290-4fcb-a0b1-19478edba58e.jpg?1591384557,Snow Creature — Mammoth,Jade Granger
