name,cmc,release_year,price,color,image,type_line,artist
Aethersnatch,6,2015,1.23,#341aff,https://cards.scryfall.io/normal/front/0/c/0ce562a9-ca35-4f31-8618-bc26d3d40169.jpg?1562701210,Instant,Aaron Miller
Ajani's Chosen,4,2015,0.55,#ffffff,https://cards.scryfall.io/normal/front/3/a/3abce159-ec4f-432d-a9fa-00a3d1ae8020.jpg?1562703270,Creature — Cat Soldier,Wayne Reynolds
Ancient Amphitheater,0,2015,0.4,#d78f42,https://cards.scryfall.io/normal/front/0/4/04a37397-1d93-45d6-a19d-e02245b5f2fe.jpg?1562700740,Land,Rob Alexander
Ancient Craving,4,2015,0.37,#000000,https://cards.scryfall.io/normal/front/c/7/c72cf3e0-6049-45e1-8226-e29f847bfeab.jpg?1562709484,Sorcery,Rob Alexander
Angel of Serenity,7,2015,0.46,#ffffff,https://cards.scryfall.io/normal/front/b/c/bc7eb2ba-346e-4269-9998-c1e692f86f63.jpg?1562708999,Creature — Angel,Aleksi Briclot
Anya- Merciless Angel,5,2015,2.91,#d78f42,https://cards.scryfall.io/normal/front/6/6/6638891f-018f-4ae7-99ae-e45ee56f8cfa.jpg?1562705161,Legendary Creature — Angel,Alisa Lee
Arachnogenesis,3,2015,54.58,#087500,https://cards.scryfall.io/normal/front/7/9/7967cb69-1868-45c0-92d1-39dabe30f2a2.jpg?1562706128,Instant,Johannes Voss
Arbiter of Knollridge,7,2015,0.23,#ffffff,https://cards.scryfall.io/normal/front/1/b/1ba767e7-b9c6-41ab-aa6b-7ec506a9f76f.jpg?1562701929,Creature — Giant Wizard,Brandon Dorman
Arbor Colossus,5,2015,0.19,#087500,https://cards.scryfall.io/normal/front/8/7/87a12eac-c104-4a91-a9d3-ccc450d5114c.jpg?1562706684,Creature — Giant,Jaime Jones
Arjun- the Shifting Flame,6,2015,0.37,#d78f42,https://cards.scryfall.io/normal/front/4/c/4cfcf0e1-1918-4442-b18a-e872f5055f30.jpg?1562704040,Legendary Creature — Sphinx Wizard,Willian Murai
Awaken the Sky Tyrant,4,2015,0.23,#ff1a1a,https://cards.scryfall.io/normal/front/5/c/5c3d57d1-1031-45e0-97d1-8e8e3e6ab516.jpg?1562704774,Enchantment,Adam Paquette
Bane of Progress,6,2015,3.84,#087500,https://cards.scryfall.io/normal/front/e/c/ecef9f48-da4f-433a-888f-a428ca774bf9.jpg?1562711122,Creature — Elemental,Lars Grant-West
Bastion Protector,3,2015,2.06,#ffffff,https://cards.scryfall.io/normal/front/7/5/7530d560-0480-4c67-97a0-3f9106e0b777.jpg?1562705941,Creature — Human Soldier,Victor Adame Minguez
Beastmaster Ascension,3,2015,4.51,#087500,https://cards.scryfall.io/normal/front/3/4/34731fa7-5379-4822-ae74-5ffd8acd099b.jpg?1562702956,Enchantment,Alex Horley-Orlandelli
Bident of Thassa,4,2015,1.71,#341aff,https://cards.scryfall.io/normal/front/5/7/57af7aa5-8626-4de2-843f-a2dc250e1381.jpg?1562704522,Legendary Enchantment Artifact,Yeong-Hao Han
Biomantic Mastery,7,2015,0.29,#d78f42,https://cards.scryfall.io/normal/front/8/d/8d63d4b7-5378-4ba9-9a5f-3ab385d83568.jpg?1562706940,Sorcery,Dan Scott
Black Market,5,2015,3.07,#000000,https://cards.scryfall.io/normal/front/4/e/4e71f0a2-0c22-4be1-b9ba-c4603a5c71e5.jpg?1562704094,Enchantment,Jeff Easley
Blade of Selves,2,2015,3.43,#8c8d8b,https://cards.scryfall.io/normal/front/6/e/6e8735b5-64ef-4782-8d8d-4477b409e52d.jpg?1562705607,Artifact — Equipment,Alan Pollack
Blatant Thievery,7,2015,3.94,#341aff,https://cards.scryfall.io/normal/front/0/2/0210b3b4-d253-464f-b533-b79bf67d47a4.jpg?1562700636,Sorcery,Ron Spencer
Bloodspore Thrinax,4,2015,0.72,#087500,https://cards.scryfall.io/normal/front/f/1/f1b1610b-5932-4ddc-9641-263fe08ef053.jpg?1562711366,Creature — Lizard,Ralph Horsley
Blue Sun's Zenith,3,2015,1.5,#341aff,https://cards.scryfall.io/normal/front/8/2/8287b55b-ed12-4a86-b2ca-e462457570f4.jpg?1562706517,Instant,Izzy
Bonehoard,4,2015,0.31,#8c8d8b,https://cards.scryfall.io/normal/front/9/2/92b31cea-66ab-49b4-b8cb-11e1a5340992.jpg?1562707179,Artifact — Equipment,Chippy
Borderland Behemoth,7,2015,0.33,#ff1a1a,https://cards.scryfall.io/normal/front/3/4/34dee9d2-8369-44e0-83b8-7a209693cdd4.jpg?1562702969,Creature — Giant Warrior,Jesper Ejsing
Butcher of Malakir,7,2015,0.45,#000000,https://cards.scryfall.io/normal/front/f/7/f760acc6-432c-4a64-8057-fb1e43f190c3.jpg?1562711632,Creature — Vampire Warrior,Jason Chan
Caller of the Claw,3,2015,1.38,#087500,https://cards.scryfall.io/normal/front/9/1/917c5e37-c15e-4260-b380-f1c73df2bf41.jpg?1562707134,Creature — Elf,Matt Cavotta
Call the Skybreaker,7,2015,0.09,#d78f42,https://cards.scryfall.io/normal/front/2/9/294a3c03-3751-4878-8b4e-0e45ba3611c5.jpg?1562702428,Sorcery,Randy Gallegos
Celestial Ancient,5,2015,0.58,#ffffff,https://cards.scryfall.io/normal/front/a/0/a0c6dcc4-2ad4-4f62-882b-01da7ace2591.jpg?1562707774,Creature — Elemental,Mark Tedin
Celestial Archon,5,2015,0.12,#ffffff,https://cards.scryfall.io/normal/front/8/8/88862d96-3249-4faf-a09d-bf888329a6d4.jpg?1562706724,Enchantment Creature — Archon,Matt Stewart
Centaur Vinecrasher,4,2015,0.25,#087500,https://cards.scryfall.io/normal/front/5/a/5a850343-9071-4095-ad0d-31e8ae5e96ff.jpg?1562704685,Creature — Plant Centaur,Robbie Trevino
Chain Reaction,4,2015,0.22,#ff1a1a,https://cards.scryfall.io/normal/front/2/8/288fd67a-46ee-417d-b2ce-05944e30011e.jpg?1567754655,Sorcery,Trevor Claxton
Chameleon Colossus,4,2015,1.66,#087500,https://cards.scryfall.io/normal/front/2/f/2f4acc60-77eb-4b37-82ff-3658182ed3a1.jpg?1562702692,Creature — Shapeshifter,Darrell Riche
Champion of Stray Souls,6,2015,0.27,#000000,https://cards.scryfall.io/normal/front/d/8/d8625d0a-5b6d-4ac8-824d-18c10a2d1aa7.jpg?1562710304,Creature — Skeleton Warrior,Aleksi Briclot
