name,cmc,release_year,price,color,image,type_line,artist
Aryel- Knight of Windgrace,4,2018,0.28,#d78f42,https://cards.scryfall.io/normal/front/5/8/58e2981b-bf25-4d9d-8811-5a1ff0b4d5d2.jpg?1562736077,Legendary Creature — Human Knight,Grzegorz Rutkowski
Benalish Marshal,3,2018,0.31,#ffffff,https://cards.scryfall.io/normal/front/6/d/6dd1a7fc-5dbd-4ed2-9b02-9fd5c55bb629.jpg?1562737424,Creature — Human Knight,Mark Zug
Blackblade Reforged,2,2018,0.71,#8c8d8b,https://cards.scryfall.io/normal/front/8/6/862d38d1-e3d0-47e1-a535-ff445b1c55c6.jpg?1562738920,Legendary Artifact — Equipment,Chris Rahn
Cabal Stronghold,0,2018,5.57,#000000,https://cards.scryfall.io/normal/front/0/b/0bda51ef-ee3e-48d4-92e2-c9083bbe0f80.jpg?1562731196,Land,Dimitar Marinski
Chandra's Outburst,5,2018,0.23,#ff1a1a,https://cards.scryfall.io/normal/front/f/1/f1e849c3-f357-4e81-a580-be5056bed51b.jpg?1562745440,Sorcery,Yongjae Choi
Clifftop Retreat,0,2018,3.0,#d78f42,https://cards.scryfall.io/normal/front/e/0/e0b52b9c-7278-46b4-9f3c-3a7fc0c7e526.jpg?1562744267,Land,Christine Choi
Darigaaz Reincarnated,7,2018,0.59,#d78f42,https://cards.scryfall.io/normal/front/9/4/9459ffca-5a1f-4641-88d4-8a499b261faa.jpg?1562739719,Legendary Creature — Dragon,Grzegorz Rutkowski
Daring Archaeologist,4,2018,0.07,#ffffff,https://cards.scryfall.io/normal/front/3/0/306ebfe1-428d-4f38-950e-b72a44262c25.jpg?1562733552,Creature — Human Artificer,Sidharth Chaturvedi
Demonlord Belzenlok,6,2018,0.37,#000000,https://cards.scryfall.io/normal/front/f/f/ffb4dbe8-15fa-467f-9366-66382b192113.jpg?1562746442,Legendary Creature — Elder Demon,Tyler Jacobson
Dread Shade,3,2018,0.13,#000000,https://cards.scryfall.io/normal/front/4/6/46b8b1d7-9d2b-4943-bb3b-238a6333ce93.jpg?1562734973,Creature — Shade,G-host Lee
Evra- Halcyon Witness,6,2018,0.11,#ffffff,https://cards.scryfall.io/normal/front/0/2/02f57a57-8ce8-4d01-9b91-99ec0623d1e9.jpg?1562730663,Legendary Creature — Avatar,Johannes Voss
Fall of the Thran,6,2018,0.18,#ffffff,https://cards.scryfall.io/normal/front/3/a/3a613a01-6145-4e34-987c-c9bdcb068370.jpg?1562734219,Enchantment — Saga,Jason Felix
Forebear's Blade,3,2018,0.15,#8c8d8b,https://cards.scryfall.io/normal/front/5/2/52212fd5-551e-4bc1-9dac-6361e27c27ad.jpg?1681500928,Artifact — Equipment,Scott Murphy
Gilded Lotus,5,2018,1.42,#8c8d8b,https://cards.scryfall.io/normal/front/a/4/a487e208-8493-4bca-8c44-284d89c66b15.jpg?1562740681,Artifact,Volkan Baǵa
Goblin Chainwhirler,3,2018,0.54,#ff1a1a,https://cards.scryfall.io/normal/front/8/b/8bdb2883-3cfd-4fb0-9f99-6a57277f7fe4.jpg?1562739277,Creature — Goblin Warrior,Svetlin Velinov
Grand Warlord Radha,4,2018,0.46,#d78f42,https://cards.scryfall.io/normal/front/9/8/986981fa-a744-45d8-81c7-68ef335c79e2.jpg?1562739940,Legendary Creature — Elf Warrior,Anna Steinbauer
